Execution Time: 44.112.

('Romance', 3.1559472948670737, 1205)
('Western', 3.2140607181871017, 185)
('Crime', 3.1630791523933883, 905)
('Drama', 3.1396027761657495, 3721)
('Action', 3.1585329294510713, 1175)
('Comedy', 3.137508814415478, 2111)
('Horror', 3.1340202623924758, 723)
('Music', 3.1890477821347667, 248)
('TV Movie', 3.148118069220997, 87)
('Science Fiction', 3.157163683913988, 593)
('Animation', 3.1758854560200147, 223)
('Adventure', 3.168709062525581, 707)
('Thriller', 3.148576179568002, 1425)
('History', 3.1187910458495414, 306)
('Family', 3.156905491920283, 386)
('Mystery', 3.1487693926555482, 475)
('Fantasy', 3.142913521900702, 463)
('Foreign', 3.113985834407914, 271)
('War', 3.1146633826061416, 231)
('Documentary', 3.072852575640331, 502)
